seqnames	start	end	strand	gene
chr11	7961068	7961567	-	OR10A3
chr11	7985060	7985559	-	NLRP10
chr11	8008367	8008866	+	EIF3F
chr11	8190642	8191141	-	RIC3
chr11	8703495	8703994	+	RPL27A
chr11	8932201	8932700	+	AKIP1
chr11	8954554	8955053	-	C11orf16
chr11	8964581	8965080	-	ASCL3
chr11	8986321	8986820	-	TMEM9B
chr11	9025597	9026096	-	NRIP3
chr11	9482012	9482511	+	ZNF143
chr11	9594728	9595227	+	WEE1
chr11	10326027	10326526	+	ADM
chr11	10530724	10531223	-	MTRNR2L8
chr11	10562775	10563274	-	RNF141
chr11	10590366	10590865	-	LYVE1
chr11	10772034	10772533	+	CTR9
chr11	10829544	10830043	-	EIF4G2
chr11	11374905	11375404	-	CSNK2A3
chr11	12030918	12031417	-	DKK3
chr11	13030470	13030969	+	RASSF10
chr11	13461827	13462326	-	BTBD10
chr11	13517723	13518222	-	PTH
chr11	13689706	13690205	+	FAR1
chr11	14380731	14381230	-	RRAS2
chr11	14521405	14521904	-	COPB1
chr11	14913752	14914251	-	CYP2R1
chr11	14993833	14994332	-	CALCA
chr11	15094646	15095145	+	CALCB
chr11	15664931	15665430	+	LOC102724957
chr11	17099221	17099720	-	RPS13
chr11	17372809	17373308	+	NCR3LG1
chr11	17410207	17410706	-	KCNJ11
chr11	17568420	17568919	+	OTOG
chr11	17740610	17741109	+	MYOD1
chr11	17756995	17757494	+	KCNC1
chr11	18062336	18062835	-	TPH1
chr11	18127639	18128138	-	SAAL1
chr11	18142002	18142501	+	MRGPRX3
chr11	18193884	18194383	+	MRGPRX4
chr11	18270222	18270721	-	SAA2
chr11	18287272	18287771	+	SAA1
chr11	18343722	18344221	-	HPS5
chr11	18417313	18417812	+	LDHA
chr11	18433353	18433852	+	LDHC
chr11	18548504	18549003	-	TSG101
chr11	18610294	18610793	-	UEVLD
chr11	18656021	18656520	-	SPTY2D1
chr11	18719782	18720281	+	TMEM86A
chr11	18813390	18813889	-	PTPN5
chr11	18956550	18957049	-	MRGPRX1
chr11	19081565	19082064	-	MRGPRX2
chr11	19138192	19138691	+	ZDHHC13
chr11	19232119	19232618	-	CSRP3
chr11	19262508	19263007	-	E2F8
chr11	20181871	20182370	-	DBX1
chr11	20384789	20385288	+	HTATIP2
chr11	20620446	20620945	+	SLC6A5
chr11	22359167	22359666	+	SLC17A6
chr11	22647388	22647887	-	FANCF
chr11	22881973	22882472	-	CCDC179
chr11	26593816	26594315	-	MUC15
chr11	27015128	27015627	+	FIBIN
chr11	27384796	27385295	-	CCDC34
chr11	27722601	27723100	-	BDNF
chr11	30038578	30039077	-	KCNA4
chr11	30252063	30252562	+	FSHB
chr11	30344146	30344645	+	ARL14EP
chr11	31390877	31391376	+	DNAJC24
chr11	31832902	31833401	-	PAX6
chr11	32457082	32457581	-	WT1
chr11	32604813	32605312	+	EIF3M
chr11	32850981	32851480	+	PRRG4
chr11	32914224	32914723	+	QSER1
chr11	33036910	33037409	+	DEPDC7
chr11	33061061	33061560	+	TCP11L1
chr11	33722287	33722786	-	C11orf91
chr11	33744274	33744773	-	CD59
chr11	33796072	33796571	-	FBXO3
chr11	33913837	33914336	-	LMO2
chr11	34126611	34127110	+	NAT10
chr11	34533347	34533846	-	ELF5
chr11	34653511	34654010	+	EHF
chr11	34937959	34938458	-	APIP
chr11	35159917	35160416	+	CD44
chr11	35639235	35639734	+	FJX1
chr11	36531864	36532363	-	TRAF6
chr11	36589063	36589562	+	RAG1
chr11	36619830	36620329	-	RAG2
chr11	36615822	36616321	+	C11orf74
chr11	43333005	43333504	+	API5
chr11	43963606	43964105	+	C11orf96
chr11	44069031	44069530	+	ACCSL
chr11	44087312	44087811	+	ACCS
chr11	44586641	44587140	+	CD82
chr11	45307885	45308384	-	SYT13
chr11	45687207	45687706	-	CHST1
chr11	45826141	45826640	+	SLC35C1
chr11	45906547	45907046	+	MAPK8IP1
chr11	45928834	45929333	-	C11orf94
chr11	45939675	45940174	-	PEX16
chr11	45943727	45944226	+	LARGE2
chr11	46298689	46299188	+	CREB3L1
chr11	46402761	46403260	+	MDK
chr11	46408159	46408658	-	CHRM4
chr11	46638778	46639277	-	HARBI1
chr11	46722216	46722715	-	ARHGAP1
chr11	46721817	46722316	+	ZNF408
chr11	46740216	46740715	+	F2
chr11	47207433	47207932	-	PACSIN3
chr11	47235993	47236492	+	DDB2
chr11	47270399	47270898	-	ACP2
chr11	47269351	47269850	+	NR1H3
chr11	47374254	47374753	-	MYBPC3
chr11	47400128	47400627	-	SPI1
chr11	47429546	47430045	+	SLC39A13
chr11	47448025	47448524	-	PSMC3
chr11	47470731	47471230	-	RAPSN
chr11	47546267	47546766	-	CELF1
chr11	47586482	47586981	+	PTPMT1
chr11	47600324	47600823	-	KBTBD4
chr11	47600062	47600561	+	NDUFS3
chr11	47607730	47608229	+	FAM180B
chr11	47615962	47616461	-	C1QTNF4
chr11	47664207	47664706	-	MTCH2
chr11	47789031	47789530	-	FNBP4
chr11	48237862	48238361	+	OR4B1
chr11	48266156	48266655	+	OR4X2
chr11	48284913	48285412	+	OR4X1
chr11	48327275	48327774	+	OR4S1
chr11	48345993	48346492	+	OR4C3
chr11	48509845	48510344	+	OR4A47
chr11	49052652	49053151	+	TRIM49B
chr11	49080665	49081164	-	TRIM64C
chr11	49230223	49230722	-	FOLH1
chr11	49973443	49973942	+	OR4C13
chr11	50004072	50004571	-	OR4C12
chr11	51412449	51412948	-	OR4A5
chr11	51514782	51515281	+	OR4C46
chr11	55029158	55029657	+	TRIM48
chr11	55110177	55110676	+	OR4A16
chr11	55134860	55135359	+	OR4A15
chr11	55321283	55321782	+	OR4C15
chr11	55339104	55339603	+	OR4C16
chr11	55371875	55372374	-	OR4C11
chr11	55405334	55405833	+	OR4P4
chr11	55417880	55418379	+	OR4S2
chr11	55432143	55432642	+	OR4C6
chr11	55540414	55540913	+	OR5D13
chr11	55562532	55563031	+	OR5D14
chr11	55578343	55578842	+	OR5L1
chr11	55586606	55587105	+	OR5D18
chr11	55594195	55594694	+	OR5L2
chr11	55605728	55606227	+	OR5D16
chr11	55650273	55650772	+	TRIM51
chr11	55682059	55682558	-	OR5W2
chr11	55703877	55704376	-	OR5I1
chr11	55735940	55736439	-	OR10AG1
chr11	55762102	55762601	-	OR5F1
chr11	55797395	55797894	+	OR5AS1
chr11	55860284	55860783	+	OR8I2
chr11	55872019	55872518	+	OR8H2
chr11	55889349	55889848	+	OR8H3
chr11	55905195	55905694	-	OR8J3
chr11	55927794	55928293	-	OR8K5
chr11	55943594	55944093	+	OR5J2
chr11	56000662	56001161	-	OR5T2
chr11	56019176	56019675	+	OR5T3
chr11	56042615	56043114	+	OR5T1
chr11	56058539	56059038	-	OR8H1
chr11	56085283	56085782	+	OR8K3
chr11	56113015	56113514	+	OR8K1
chr11	56127191	56127690	+	OR8J1
chr11	56142600	56143099	+	OR8U1
chr11	56185709	56186208	-	OR5R1
chr11	56230878	56231377	-	OR5M9
chr11	56238015	56238514	-	OR5M3
chr11	56258847	56259346	-	OR5M8
chr11	56310734	56311233	-	OR5M11
chr11	56345198	56345697	-	OR5M10
chr11	56380979	56381478	-	OR5M1
chr11	56409916	56410415	-	OR5AP2
chr11	56430662	56431161	+	OR5AR1
chr11	56467364	56467863	+	OR9G1
chr11	56511288	56511787	-	OR9G4
chr11	56755889	56756388	+	OR5AK2
chr11	56948721	56949220	+	LRRC55
chr11	57004928	57005427	-	APLNR
chr11	57092414	57092913	-	TNKS1BP1
chr11	57103352	57103851	-	SSRP1
chr11	57105341	57105840	+	P2RX3
chr11	57158131	57158630	-	PRG2
chr11	57194622	57195121	-	SLC43A3
chr11	57227510	57228009	+	RTN4RL2
chr11	57298233	57298732	-	TIMM10
chr11	57309614	57310113	+	SMTNL1
chr11	57335181	57335680	-	UBE2L6
chr11	57365205	57365704	+	SERPING1
chr11	57417418	57417917	-	YPEL4
chr11	57424716	57425215	+	CLP1
chr11	57434974	57435473	+	ZDHHC5
chr11	57479796	57480295	-	MED19
chr11	57479495	57479994	+	TMX2
chr11	57508222	57508721	+	SELENOH
chr11	57519254	57519753	-	BTBD18
chr11	57797925	57798424	+	OR6Q1
chr11	57886917	57887416	-	OR9I1
chr11	57957406	57957905	+	OR9Q2
chr11	57971654	57972153	-	OR1S2
chr11	57981717	57982216	+	OR1S1
chr11	57996391	57996890	-	OR10Q1
chr11	58035733	58036232	-	OR10W1
chr11	58126543	58127042	-	OR5B17
chr11	58170883	58171382	-	OR5B3
chr11	58190787	58191286	-	OR5B2
chr11	58207647	58208146	-	OR5B12
chr11	58275579	58276078	-	OR5B21
chr11	58346087	58346586	+	ZFP91
chr11	58389646	58390145	+	CNTF
chr11	58499448	58499947	-	GLYAT
chr11	58611998	58612497	-	GLYATL2
chr11	58874158	58874657	+	FAM111B
chr11	58911752	58912251	+	FAM111A
chr11	58939312	58939811	+	DTX4
chr11	58980495	58980994	-	MPEG1
chr11	59131432	59131931	+	OR5AN1
chr11	59190427	59190926	-	OR5A2
chr11	59210142	59210641	+	OR5A1
chr11	59223934	59224433	+	OR4D6
chr11	59244403	59244902	+	OR4D10
chr11	59270549	59271048	+	OR4D11
chr11	59281886	59282385	+	OR4D9
chr11	59436512	59437011	-	PATL1
chr11	59481319	59481818	-	OR10V1
chr11	59522032	59522531	+	STX3
chr11	59578346	59578845	-	MRPL16
chr11	59612975	59613474	-	GIF
chr11	59634042	59634541	-	TCN1
chr11	59807248	59807747	+	OOSP2
chr11	59823601	59824100	+	MS4A3
chr11	59855637	59856136	+	MS4A2
chr11	59950805	59951304	-	MS4A6A
chr11	60047514	60048013	+	MS4A4A
chr11	60101855	60102354	+	MS4A6E
chr11	60162987	60163486	+	MS4A14
chr11	60196562	60197061	+	MS4A5
chr11	60222782	60223281	+	MS4A1
chr11	60259751	60260250	+	MS4A12
chr11	60466547	60467046	+	MS4A8
chr11	60490982	60491481	+	MS4A18
chr11	60523840	60524339	+	MS4A15
chr11	60608929	60609428	+	CCDC86
chr11	60623445	60623944	-	PTGDR2
chr11	60634515	60635014	+	ZP1
chr11	60674062	60674561	-	PRPF19
chr11	60691413	60691912	+	TMEM132A
chr11	60719258	60719757	-	SLC15A3
chr11	60738613	60739112	+	CD6
chr11	60869430	60869929	+	CD5
chr11	60928917	60929416	-	VPS37C
chr11	60970485	60970984	+	PGA3
chr11	60989321	60989820	+	PGA4
chr11	61008148	61008647	+	PGA5
chr11	61062789	61063288	-	VWCE
chr11	61100154	61100653	+	TKFC
chr11	61129756	61130255	-	CYB561A3
chr11	61128973	61129472	+	TMEM138
chr11	61159332	61159831	+	TMEM216
chr11	61197384	61197883	-	CPSF7
chr11	61248085	61248584	+	PPP1R32
chr11	61275772	61276271	+	LRRC10B
chr11	61519609	61520108	+	MYRF
chr11	61560086	61560585	-	TMEM258
chr11	61559609	61560108	+	FEN1
chr11	61584530	61585029	-	FADS1
chr11	61659018	61659517	-	FADS3
chr11	61685082	61685581	-	RAB3IL1
chr11	61716856	61717355	+	BEST1
chr11	61890945	61891444	+	INCENP
chr11	61957210	61957709	+	SCGB1D1
chr11	61975640	61976139	+	SCGB2A1
chr11	62009224	62009723	+	SCGB1D2
chr11	62037127	62037626	+	SCGB2A2
chr11	62066537	62067036	-	SCGB1D4
chr11	62186007	62186506	+	SCGB1A1
chr11	62313160	62313659	-	AHNAK
chr11	62341461	62341960	-	EEF1G
chr11	62359110	62359609	-	TUT1
chr11	62369313	62369812	-	MTA2
chr11	62380238	62380737	-	EML3
chr11	62379713	62380212	+	ROM1
chr11	62389648	62390147	-	B3GAT3
chr11	62414199	62414698	-	GANAB
chr11	62420775	62421274	-	INTS5
chr11	62432689	62433188	-	C11orf98
chr11	62439242	62439741	-	LBHD1
chr11	62432279	62432778	+	METTL12
chr11	62438626	62439125	+	UQCC3
chr11	62446590	62447089	-	UBXN1
chr11	62457372	62457871	-	LRRN4CL
chr11	62475180	62475679	-	BSCL2
chr11	62474566	62475065	+	GNG3
chr11	62494858	62495357	-	HNRNPUL2
chr11	62495452	62495951	+	TTC9C
chr11	62528511	62529010	+	POLR2G
chr11	62538275	62538774	+	TAF6L
chr11	62554374	62554873	+	TMEM179B
chr11	62559487	62559986	-	TMEM223
chr11	62572965	62573464	-	NXF1
chr11	62599564	62600063	-	STX5
chr11	62607629	62608128	-	WDR74
chr11	62689013	62689512	-	CHRM1
chr11	62752496	62752995	-	SLC22A6
chr11	62783318	62783817	-	SLC22A8
chr11	62911694	62912193	-	SLC22A24
chr11	62997125	62997624	-	SLC22A25
chr11	63056930	63057429	+	SLC22A10
chr11	63258681	63259180	-	HRASLS5
chr11	63273024	63273523	+	LGALS12
chr11	63330856	63331355	-	HRASLS2
chr11	63381910	63382409	-	PLA2G16
chr11	63448422	63448921	+	RTN3
chr11	63536114	63536613	-	C11orf95
chr11	63580346	63580845	+	C11orf84
chr11	63605900	63606399	+	MARK2
chr11	63684317	63684816	-	RCOR2
chr11	63705942	63706441	+	NAA40
chr11	63741579	63742078	+	COX8A
chr11	63752825	63753324	+	OTUB1
chr11	63870862	63871361	+	FLRT1
chr11	63973652	63974151	+	FERMT3
chr11	63993727	63994226	-	TRPT1
chr11	63993246	63993745	+	NUDT22
chr11	63997404	63997903	+	DNAJC4
chr11	64001556	64002055	+	VEGFB
chr11	64009088	64009587	+	FKBP2
chr11	64014414	64014913	-	PPP1R14B
chr11	64018495	64018994	+	PLCB3
chr11	64052177	64052676	-	BAD
chr11	64051311	64051810	+	GPR137
chr11	64058982	64059481	+	KCNK4
chr11	64067363	64067862	+	TEX40
chr11	64073199	64073698	+	ESRRA
chr11	64085557	64086056	-	TRMT112
chr11	64085060	64085559	+	PRDX5
chr11	64107190	64107689	+	CCDC88B
chr11	64126125	64126624	+	RPS6KA4
chr11	64322573	64323072	+	SLC22A11
chr11	64357782	64358281	+	SLC22A12
chr11	64511631	64512130	-	RASGRP2
chr11	64527770	64528269	-	PYGM
chr11	64545939	64546438	-	SF1
chr11	64570727	64571226	-	MAP4K2
chr11	64578036	64578535	-	MEN1
chr11	64612042	64612541	-	CDC42BPG
chr11	64647186	64647685	-	EHD1
chr11	64684723	64685222	-	ATG2A
chr11	64691643	64692142	+	PPP2R5B
chr11	64703361	64703860	-	GPHA2
chr11	64739564	64740063	-	MAJIN
chr11	64764518	64765017	-	BATF2
chr11	64781085	64781584	+	ARL2
chr11	64794380	64794879	+	SNX15
chr11	64807876	64808375	+	SAC3D1
chr11	64826010	64826509	-	NAALADL1
chr11	64851616	64852115	-	CDCA5
chr11	64851194	64851693	+	ZFPL1
chr11	64856582	64857081	-	TMEM262
chr11	64863087	64863586	+	VPS51
chr11	64885211	64885710	-	ZNHIT2
chr11	64889673	64890172	-	FAU
chr11	64889216	64889715	+	MRPL49
chr11	64902004	64902503	-	SYVN1
chr11	64937207	64937706	+	SPDYC
chr11	64948804	64949303	+	CAPN1
chr11	64980811	64981310	+	SLC22A20
chr11	65028823	65029322	+	POLA2
chr11	65081789	65082288	+	CDC42EP2
chr11	65100725	65101224	+	DPF2
chr11	65121782	65122281	+	TIGD3
chr11	65153541	65154040	+	FRMD8
chr11	65292048	65292547	+	SCYL1
chr11	65325700	65326199	-	LTBP3
chr11	65337430	65337929	+	SSSCA1
chr11	65339320	65339819	+	FAM89B
chr11	65343009	65343508	+	EHBP1L1
chr11	65363468	65363967	-	KCNK7
chr11	65381721	65382220	-	MAP3K11
chr11	65383283	65383782	+	PCNX3
chr11	65407092	65407591	+	SIPA1
chr11	65430444	65430943	-	RELA
chr11	65478973	65479472	+	KAT5
chr11	65488410	65488909	-	RNASEH2C
chr11	65548063	65548562	-	AP5B1
chr11	65554005	65554504	+	OVOL1
chr11	65600910	65601409	+	SNX32
chr11	65625805	65626304	-	CFL1
chr11	65627372	65627871	+	MUS81
chr11	65640406	65640905	-	EFEMP2
chr11	65646784	65647283	+	CTSW
chr11	65656011	65656510	-	FIBP
chr11	65657375	65657874	+	CCDC85B
chr11	65686532	65687031	-	C11orf68
chr11	65686228	65686727	+	DRAP1
chr11	65712615	65713114	+	TSGA10IP
chr11	65728660	65729159	+	SART1
chr11	65769638	65770137	-	EIF1AD
chr11	65769050	65769549	+	BANF1
chr11	65778962	65779461	+	CST6
chr11	65793989	65794488	-	CATSPER1
chr11	65816652	65817151	-	GAL3ST3
chr11	65819316	65819815	+	SF3B2
chr11	66024674	66025173	+	KLC2
chr11	66035556	66036055	+	RAB1B
chr11	66045172	66045671	+	CNIH2
chr11	66056639	66057138	-	YIF1A
chr11	66084516	66085015	-	CD248
chr11	66104001	66104500	-	RIN1
chr11	66112583	66113082	-	BRMS1
chr11	66115162	66115661	-	B4GAT1
chr11	66139292	66139791	-	SLC29A2
chr11	66206320	66206819	-	MRPL11
chr11	66233836	66234335	+	PELI3
chr11	66246984	66247483	+	DPP3
chr11	66277619	66278118	+	BBS1
chr11	66313672	66314171	-	ZDHHC24
chr11	66336048	66336547	-	CTSF
chr11	66360555	66361054	-	CCDC87
chr11	66360190	66360689	+	CCS
chr11	66383553	66384052	+	RBM14
chr11	66405588	66406087	+	RBM4
chr11	66445393	66445892	-	RBM4B
chr11	66610383	66610882	+	RCE1
chr11	66675341	66675840	-	PC
chr11	66624376	66624875	+	LRFN4
chr11	66742254	66742753	+	C11orf86
chr11	66790316	66790815	+	SYT12
chr11	66823789	66824288	+	RHOD
chr11	67033405	67033904	+	GRK2
chr11	67056262	67056761	+	ANKRD13D
chr11	67070419	67070918	+	SSH3
chr11	67121068	67121567	-	POLD4
chr11	67141207	67141706	-	CLCF1
chr11	67158923	67159422	+	RAD9A
chr11	67169377	67169876	-	PPP1CA
chr11	67170884	67171383	+	TBC1D10C
chr11	67182649	67183148	+	CARNS1
chr11	67195435	67195934	+	RPS6KB2
chr11	67205154	67205653	-	PTPRCAP
chr11	67210984	67211483	-	CORO1B
chr11	67220201	67220700	-	GPR152
chr11	67222318	67222817	+	CABP4
chr11	67236749	67237248	-	TMEM134
chr11	67250000	67250499	+	AIP
chr11	67272844	67273343	-	PITPNM1
chr11	67276200	67276699	-	CDK2AP2
chr11	67290900	67291399	-	CABP2
chr11	67350566	67351065	+	GSTP1
chr11	67373823	67374322	+	NDUFV1
chr11	67397409	67397908	-	NUDT8
chr11	67407032	67407531	-	TBX10
chr11	67418131	67418630	-	ACY3
chr11	67442103	67442602	-	ALDH3B2
chr11	67777275	67777774	+	ALDH3B1
chr11	67797584	67798083	+	NDUFS8
chr11	67805962	67806461	+	TCIRG1
chr11	67888859	67889358	-	CHKA
chr11	67980813	67981312	-	KMT5B
chr11	68039470	68039969	-	C11orf24
chr11	68451443	68451942	+	GAL
chr11	68518989	68519488	-	TESMIN
chr11	68671304	68671803	-	MRPL21
chr11	68748456	68748955	-	MRGPRD
chr11	68780851	68781350	-	MRGPRF
chr11	68815850	68816349	+	TPCN2
chr11	69061105	69061604	+	MYEOV
chr11	69239939	69240438	+	LOC102724265
chr11	69490166	69490665	-	ORAOV1
chr11	69519107	69519606	-	FGF19
chr11	69590172	69590671	-	FGF4
chr11	69634193	69634692	-	FGF3
chr11	70048769	70049268	+	FADD
chr11	71159478	71159977	-	DHCR7
chr11	71237813	71238312	+	KRTAP5-7
chr11	71248571	71249070	+	KRTAP5-8
chr11	71258966	71259465	+	KRTAP5-9
chr11	71276109	71276608	+	KRTAP5-10
chr11	71293922	71294421	-	KRTAP5-11
chr11	71498057	71498556	+	FAM86C1
chr11	71532594	71533093	-	ZNF705E
chr11	71543746	71544245	+	DEFB108B
chr11	71588999	71589498	+	LOC100129216
chr11	71709609	71710108	+	IL18BP
chr11	71791740	71792239	-	NUMA1
chr11	71790877	71791376	+	LRTOMT
chr11	71814434	71814933	-	LAMTOR1
chr11	71823827	71824326	-	ANAPC15
chr11	71846256	71846755	+	FOLR3
chr11	71902673	71903172	+	FOLR1
chr11	71927319	71927818	+	FOLR2
chr11	71935382	71935881	+	INPPL1
chr11	71955221	71955720	-	PHOX2A
chr11	72463435	72463934	-	ARAP1
chr11	72524951	72525450	+	ATG16L2
chr11	72929002	72929501	+	P2RY2
chr11	73019163	73019662	+	ARHGEF17
chr11	73087213	73087712	+	RELT
chr11	73356723	73357222	+	PLEKHB1
chr11	73587891	73588390	-	COA4
chr11	73587514	73588013	+	PAAF1
chr11	73693890	73694389	-	UCP2
chr11	73720283	73720782	-	UCP3
chr11	74022722	74023221	-	P4HA3
chr11	74178601	74179100	-	KCNE3
chr11	74204759	74205258	-	LIPT2
chr11	74203930	74204429	+	LOC100287896
chr11	74442431	74442930	-	CHRDL2
chr11	74459413	74459912	+	RNF169
chr11	74659792	74660291	+	SPCS2
chr11	74800759	74801258	-	OR2AT4
chr11	74861532	74862031	+	SLCO2B1
chr11	74951450	74951949	+	TPBGL
chr11	75110035	75110534	+	RPS3
chr11	75141675	75142174	-	KLHL35
chr11	75272601	75273100	+	SERPINH1
chr11	75428364	75428863	+	MOGAT2
chr11	75917575	75918074	-	WNT11
chr11	76092010	76092509	-	THAP12
chr11	76091847	76092346	+	LOC100506127
chr11	76155569	76156068	+	EMSY
chr11	76381045	76381544	-	LRRC32
chr11	76502296	76502795	+	TSKU
chr11	76744885	76745384	+	B3GNT6
chr11	76813386	76813885	+	OMP
chr11	76838810	76839309	+	MYO7A
chr11	77300180	77300679	+	AQP11
chr11	77734321	77734820	-	KCTD14
chr11	77791266	77791765	-	NDUFC2-KCTD14
chr11	77774407	77774906	+	THRSP
chr11	77791266	77791765	-	NDUFC2
chr11	77850700	77851199	-	ALG8
chr11	77899676	77900175	-	KCTD21
chr11	77899358	77899857	+	USP35
chr11	82612237	82612736	+	DDIAS
chr11	82867637	82868136	+	PCF11
chr11	82904281	82904780	+	ANKRD42
chr11	82997451	82997950	-	CCDC90B
chr11	85339117	85339616	+	TMEM126B
chr11	85358463	85358962	+	TMEM126A
chr11	85376183	85376682	-	CREBZF
chr11	85397321	85397820	-	CCDC89
chr11	86012753	86013252	+	HIKESHI
chr11	86510782	86511281	+	PRSS23
chr11	86666441	86666940	-	FZD4
chr11	87908636	87909135	-	RAB38
chr11	88070956	88071455	-	CTSC
chr11	89391965	89392464	+	FOLH1B
chr11	89442967	89443466	+	TRIM77
chr11	89541744	89542243	-	TRIM49
chr11	89609186	89609685	-	TRIM64B
chr11	89650879	89651378	-	TRIM49D1
chr11	89656732	89657231	+	TRIM49D2
chr11	89701172	89701671	+	TRIM64
chr11	89763774	89764273	+	TRIM49C
chr11	89818618	89819117	+	UBTFL1
chr11	89956533	89957032	-	CHORDC1
chr11	92702289	92702788	+	MTNR1B
chr11	93063383	93063882	+	DEUP1
chr11	93276547	93277046	-	SMCO4
chr11	93474704	93475203	-	TAF1D
chr11	93474260	93474759	+	C11orf54
chr11	93516905	93517404	+	MED17
chr11	93583669	93584168	-	VSTM5
chr11	93753878	93754377	+	HEPHL1
chr11	93861594	93862093	+	PANX1
chr11	94038303	94038802	+	IZUMO1R
chr11	94134586	94135085	-	GPR83
chr11	94227041	94227540	-	MRE11
chr11	94226653	94227152	+	ANKRD49
chr11	94245195	94245694	+	C11orf97
chr11	94276517	94277016	+	FUT4
chr11	94299974	94300473	+	PIWIL4
chr11	94706777	94707276	-	CWC15
chr11	94706345	94706844	+	KDM4D
chr11	94757922	94758421	+	KDM4E
chr11	94799541	94800040	+	SRSF8
chr11	94822474	94822973	+	ENDOD1
chr11	94964247	94964746	-	SESN3
chr11	95522955	95523454	-	FAM76B
chr11	95657372	95657871	-	MTMR2
chr11	96123084	96123583	-	CCDC82
chr11	96122658	96123157	+	JRKL
chr11	100862311	100862810	+	TMEM133
chr11	101787254	101787753	-	ANGPTL5
chr11	101917669	101918168	+	C11orf70
chr11	101980692	101981191	+	YAP1
chr11	102187681	102188180	+	BIRC3
chr11	102323776	102324275	-	TMEM123
chr11	102401485	102401984	-	MMP7
chr11	102496064	102496563	-	MMP20
chr11	102576469	102576968	-	MMP27
chr11	102595686	102596185	-	MMP8
chr11	102651360	102651859	-	MMP10
chr11	102668967	102669466	-	MMP1
chr11	102714421	102714920	-	MMP3
chr11	102745765	102746264	-	MMP12
chr11	102826464	102826963	-	MMP13
chr11	102962945	102963444	-	DCUN1D5
chr11	103906808	103907307	+	DDI1
chr11	104839326	104839825	-	CASP4
chr11	104893896	104894395	-	CASP5
chr11	104905885	104906384	-	CASP1
chr11	104916052	104916551	-	CARD16
chr11	104972159	104972658	-	CARD17
chr11	105010462	105010961	-	CARD18
chr11	105893015	105893514	-	MSANTD4
chr11	105948466	105948965	-	KBTBD3
chr11	105947792	105948291	+	AASDHPPT
chr11	107436462	107436961	-	ALKBH8
chr11	107582788	107583287	-	SLN
chr11	107729915	107730414	-	SLC35F2
chr11	107798701	107799200	+	RAB39A
chr11	107878908	107879407	+	CUL5
chr11	108093366	108093865	-	NPAT
chr11	108369160	108369659	-	KDELC2
chr11	109292346	109292845	+	C11orf87
chr11	110300161	110300660	+	FDX1
chr11	111169979	111170478	-	COLCA1
chr11	111168771	111169270	+	COLCA2
chr11	111250158	111250657	-	POU2AF1
chr11	111383080	111383579	-	BTG4
chr11	111385010	111385509	+	C11orf88
chr11	111410733	111411232	+	LAYN
chr11	111637170	111637669	-	PPP2R1B
chr11	111750182	111750681	-	FDXACB1
chr11	111749448	111749947	+	C11orf1
chr11	111782751	111783250	-	CRYAB
chr11	111782960	111783459	+	HSPB2
chr11	111789101	111789600	+	C11orf52
chr11	111807427	111807926	+	DIXDC1
chr11	111895038	111895537	+	DLAT
chr11	111944896	111945395	-	PIH1D2
chr11	111944468	111944967	+	C11orf57
chr11	111957523	111958022	-	TIMM8B
chr11	111957048	111957547	+	SDHD
chr11	112034841	112035340	-	IL18
chr11	112037595	112038094	+	TEX12
chr11	112096588	112097087	+	PTS
chr11	112131584	112132083	-	PLET1
chr11	113184751	113185250	+	TTC12
chr11	113258013	113258512	+	ANKK1
chr11	113346002	113346501	-	DRD2
chr11	113577096	113577595	-	TMPRSS5
chr11	113650018	113650517	+	CLDN25
chr11	113746293	113746792	-	USP28
chr11	113775018	113775517	+	HTR3B
chr11	113845297	113845796	+	HTR3A
chr11	114166035	114166534	+	NNMT
chr11	114271273	114271772	-	C11orf71
chr11	114270751	114271250	+	RBM7
chr11	114309608	114310107	+	REXO2
chr11	114466485	114466984	-	NXPE4
chr11	116643715	116644214	-	BUD13
chr11	116663137	116663636	-	APOA5
chr11	116694012	116694511	-	APOA4
chr11	116700124	116700623	+	APOC3
chr11	116708303	116708802	-	APOA1
chr11	117014500	117014999	+	PAFAH1B2
chr11	117049439	117049938	+	SIDT2
chr11	117069540	117070039	+	TAGLN
chr11	117103242	117103741	-	PCSK7
chr11	117102952	117103451	+	RNF214
chr11	117198071	117198570	+	CEP164
chr11	117695460	117695959	-	FXYD2
chr11	117747747	117748246	-	FXYD6
chr11	117800169	117800668	-	TMPRSS13
chr11	117856606	117857105	+	IL10RA
chr11	118023631	118024130	-	SCN4B
chr11	118047338	118047837	-	SCN2B
chr11	118095810	118096309	-	JAML
chr11	118123084	118123583	-	MPZL3
chr11	118135252	118135751	-	MPZL2
chr11	118174795	118175294	+	CD3E
chr11	118213460	118213959	-	CD3D
chr11	118214559	118215058	+	CD3G
chr11	118229796	118230295	+	UBE4A
chr11	118271604	118272103	+	ATP5L
chr11	118397648	118398147	+	TTC36
chr11	118401303	118401802	+	TMEM25
chr11	118436792	118437291	-	IFT46
chr11	118442602	118443101	+	ARCN1
chr11	118550382	118550881	-	TREH
chr11	118753975	118754474	+	CXCR5
chr11	118781614	118782113	-	BCL9L
chr11	118826508	118827007	+	UPK2
chr11	118841917	118842416	+	FOXR1
chr11	118889058	118889557	-	RPS25
chr11	118888679	118889178	+	TRAPPC4
chr11	118901617	118902116	-	SLC37A4
